employee_id,department,seniority,manager_id,age,tenure_years,salary,salary_band_min,salary_band_max,performance_score,months_since_promotion,engagement_score,training_hours,attrition
1,Sales,Mid,11.0,45,0.82,66041,47153,76494,7.0,86.0,2.5,6,0
2,HR,Senior,3.0,59,6.8,53384,30780,78551,,7.0,6.1,42,0
3,Data,Mid,1.0,29,6.55,30145,39908,55612,0.0,81.0,7.9,53,0
4,Product,Junior,6.0,42,2.73,67778,36303,69203,0.0,11.0,5.5,23,0
5,Engineering,Junior,,24,9.51,46035,44686,72071,9.0,30.0,1.1,3,1
6,Engineering,Mid,24.0,46,-0.8,33040,33983,75074,2.0,77.0,1.1,27,0
7,Engineering,Junior,10.0,49,4.32,72422,39503,57307,8.0,33.0,,14,0
8,HR,Mid,5.0,54,9.44,56160,46905,62133,6.0,81.0,9.3,0,0
9,Product,Senior,23.0,43,4.2,47633,43070,66205,1.0,97.0,3.1,54,0
10,Data,Mid,10.0,57,6.39,59344,42232,77893,8.0,74.0,6.7,2,0
11,Engineering,Mid,12.0,67,3.98,47014,34583,60906,9.0,75.0,3.0,13,0
12,HR,Mid,2.0,26,2.74,44996,35946,57591,1.0,48.0,3.9,37,0
13,Data,Mid,13.0,38,9.84,71621,46377,70149,2.0,78.0,8.6,49,0
14,Engineering,Mid,8.0,41,4.09,41695,37128,67150,10.0,56.0,7.6,56,1
15,Engineering,Senior,2.0,56,8.94,32852,41889,62183,9.0,94.0,1.9,0,0
16,Engineering,Mid,20.0,58,2.3,37275,42275,76632,1.0,92.0,4.9,37,0
17,Engineering,Senior,1.0,54,2.13,57042,32461,65102,2.0,25.0,1.3,37,0
18,Sales,Senior,5.0,37,0.31,63755,44291,76492,5.0,17.0,5.3,20,0
19,Sales,Junior,9.0,57,6.52,70390,44036,74988,8.0,95.0,7.0,47,0
20,Engineering,Junior,17.0,45,3.69,53711,41435,72053,8.0,85.0,2.1,28,0
21,Product,Junior,9.0,58,8.64,90748,30685,75748,6.0,37.0,3.6,4,1
22,Engineering,Junior,11.0,32,4.73,39160,48544,78713,2.0,80.0,4.6,48,0
23,Engineering,Junior,15.0,43,9.68,57213,42258,56283,3.0,86.0,9.3,9,0
24,Sales,Mid,24.0,42,1.86,69420,45990,55923,5.0,87.0,9.9,27,0
25,Sales,Junior,6.0,41,8.69,37421,46422,56125,10.0,49.0,1.4,20,0
26,Data,Mid,23.0,47,7.77,51400,40736,56529,11.0,7.0,7.8,49,0
27,Engineering,Senior,3.0,51,7.71,63537,34875,63438,1.0,40.0,4.3,6,0
28,Sales,Junior,17.0,26,8.45,47727,47640,75095,5.0,5.0,4.5,2,0
29,Product,Senior,5.0,47,7.61,34358,41182,71154,2.0,68.0,,44,1
30,Engineering,Junior,12.0,54,6.26,58482,32196,63004,7.0,43.0,9.3,46,0
31,Product,Junior,18.0,32,1.31,62117,37165,64752,1.0,63.0,0.0,19,0
32,Engineering,Mid,14.0,27,0.33,53164,45997,77658,0.0,28.0,6.2,18,0
33,Engineering,Mid,21.0,30,9.21,61910,44215,65592,8.0,27.0,4.2,34,0
34,HR,Senior,24.0,37,6.17,62496,30301,58864,2.0,10.0,8.1,3,0
